100; 2
-200.0, -160.0;-200.0, -160.0;3.191150868531048E-5
-160.0, -120.0;-200.0, -160.0;0.0
-120.0, -80.0;-200.0, -160.0;4.71074652021247E-8
-80.0, -40.0;-200.0, -160.0;7.597978258407308E-8
-40.0, 0.0;-200.0, -160.0;9.269533475257012E-8
0.0, 40.0;-200.0, -160.0;5.014665650548826E-7
40.0, 80.0;-200.0, -160.0;0.0
80.0, 120.0;-200.0, -160.0;0.0
120.0, 160.0;-200.0, -160.0;3.997366944059835E-6
160.0, 200.0;-200.0, -160.0;0.0
-200.0, -160.0;-160.0, -120.0;1.0658443900893787E-5
-160.0, -120.0;-160.0, -120.0;2.0058662602194886E-7
-120.0, -80.0;-160.0, -120.0;3.0283370487080335E-7
-80.0, -40.0;-160.0, -120.0;3.2610674100086316E-7
-40.0, 0.0;-160.0, -120.0;2.0193531360522935E-7
0.0, 40.0;-160.0, -120.0;2.6122909435417207E-7
40.0, 80.0;-160.0, -120.0;3.4950699988673384E-7
80.0, 120.0;-160.0, -120.0;2.583312607858499E-8
120.0, 160.0;-160.0, -120.0;1.1540224568937907E-6
160.0, 200.0;-160.0, -120.0;1.0637169561770035E-7
-200.0, -160.0;-120.0, -80.0;2.1653208299111342E-5
-160.0, -120.0;-120.0, -80.0;2.3551226378588047E-5
-120.0, -80.0;-120.0, -80.0;1.199715463554829E-4
-80.0, -40.0;-120.0, -80.0;4.247461757144945E-5
-40.0, 0.0;-120.0, -80.0;1.0263837811900689E-4
0.0, 40.0;-120.0, -80.0;0.18154558269121523
40.0, 80.0;-120.0, -80.0;1.724886640542026E-5
80.0, 120.0;-120.0, -80.0;1.5887777446261207E-5
120.0, 160.0;-120.0, -80.0;9.131462934812778E-5
160.0, 200.0;-120.0, -80.0;5.517377427424909E-5
-200.0, -160.0;-80.0, -40.0;1.7978110269203164E-4
-160.0, -120.0;-80.0, -40.0;8.382746230080023E-5
-120.0, -80.0;-80.0, -40.0;3.362077909731514E-4
-80.0, -40.0;-80.0, -40.0;2.0301766758198874E-4
-40.0, 0.0;-80.0, -40.0;2.6827143117980057E-4
0.0, 40.0;-80.0, -40.0;0.14812263496867173
40.0, 80.0;-80.0, -40.0;1.616620857084947E-4
80.0, 120.0;-80.0, -40.0;5.705443885567732E-5
120.0, 160.0;-80.0, -40.0;3.17252669815354E-4
160.0, 200.0;-80.0, -40.0;1.2348252752128532E-4
-200.0, -160.0;-40.0, 0.0;5.5649460714717274E-5
-160.0, -120.0;-40.0, 0.0;6.635999302325844E-5
-120.0, -80.0;-40.0, 0.0;1.6611579137884046E-4
-80.0, -40.0;-40.0, 0.0;1.611162006689995E-4
-40.0, 0.0;-40.0, 0.0;3.320186736098024E-4
0.0, 40.0;-40.0, 0.0;0.344893815985808
40.0, 80.0;-40.0, 0.0;1.3788525903188099E-4
80.0, 120.0;-40.0, 0.0;2.9928308841350306E-5
120.0, 160.0;-40.0, 0.0;1.9180244561429745E-4
160.0, 200.0;-40.0, 0.0;1.2404201588827552E-4
-200.0, -160.0;0.0, 40.0;0.0014579619749225138
-160.0, -120.0;0.0, 40.0;7.258766561745918E-4
-120.0, -80.0;0.0, 40.0;0.003665578974555926
-80.0, -40.0;0.0, 40.0;0.002500996516665627
-40.0, 0.0;0.0, 40.0;0.0016034756990851596
0.0, 40.0;0.0, 40.0;0.3072359747551145
40.0, 80.0;0.0, 40.0;6.230606335277425E-4
80.0, 120.0;0.0, 40.0;4.1129229330212776E-4
120.0, 160.0;0.0, 40.0;0.0016316213188341784
160.0, 200.0;0.0, 40.0;0.002022109338221504
-200.0, -160.0;40.0, 80.0;0.0
-160.0, -120.0;40.0, 80.0;0.0
-120.0, -80.0;40.0, 80.0;0.0
-80.0, -40.0;40.0, 80.0;0.0
-40.0, 0.0;40.0, 80.0;0.0
0.0, 40.0;40.0, 80.0;0.0
40.0, 80.0;40.0, 80.0;0.0
80.0, 120.0;40.0, 80.0;0.0
120.0, 160.0;40.0, 80.0;0.0
160.0, 200.0;40.0, 80.0;1.914690521118622E-6
-200.0, -160.0;80.0, 120.0;0.0
-160.0, -120.0;80.0, 120.0;0.0
-120.0, -80.0;80.0, 120.0;0.0
-80.0, -40.0;80.0, 120.0;0.0
-40.0, 0.0;80.0, 120.0;0.0
0.0, 40.0;80.0, 120.0;0.0
40.0, 80.0;80.0, 120.0;0.0
80.0, 120.0;80.0, 120.0;0.0
120.0, 160.0;80.0, 120.0;0.0
160.0, 200.0;80.0, 120.0;0.0
-200.0, -160.0;120.0, 160.0;0.0
-160.0, -120.0;120.0, 160.0;0.0
-120.0, -80.0;120.0, 160.0;0.0
-80.0, -40.0;120.0, 160.0;0.0
-40.0, 0.0;120.0, 160.0;0.0
0.0, 40.0;120.0, 160.0;0.0
40.0, 80.0;120.0, 160.0;0.0
80.0, 120.0;120.0, 160.0;6.027729418336404E-7
120.0, 160.0;120.0, 160.0;2.063256322664691E-5
160.0, 200.0;120.0, 160.0;1.2658231778506467E-6
-200.0, -160.0;160.0, 200.0;0.0
-160.0, -120.0;160.0, 200.0;0.0
-120.0, -80.0;160.0, 200.0;0.0
-80.0, -40.0;160.0, 200.0;0.0
-40.0, 0.0;160.0, 200.0;0.0
0.0, 40.0;160.0, 200.0;0.0
40.0, 80.0;160.0, 200.0;0.0
80.0, 120.0;160.0, 200.0;0.0
120.0, 160.0;160.0, 200.0;0.0
160.0, 200.0;160.0, 200.0;0.0
